ORF	5m	15m	30m	4h
CAGL0C04279g	-0.319757731	-0.936756249	-2.550409989	2.369115173
CAGL0C04323g	-0.594461807	0.414838248	1.061207854	-3.596044483
CAGL0C04389g	-0.193270932	-1.112990324	-1.592374724	5.683825526
CAGL0C04411g	-0.458471294	-1.474003308	-2.1757819	4.08981015
CAGL0C04455g	0.377467599	0.425786962	1.218534127	-2.123396386
CAGL0C04543g	-0.053815468	0.534319626	1.613741119	-2.115719293
CAGL0C04587g	0.118634634	0.649137326	3.091183449	-3.436127145
CAGL0C04741g	-0.00162946	0.524224991	1.790623886	-2.937762714
CAGL0C04851g	-0.249987334	-1.213776208	-1.714796532	1.868565879
CAGL0C04983g	-0.055981515	-0.081282071	-1.279009402	1.900279273
CAGL0C05027g	-0.167358735	0.251977199	1.202799816	-5.482532069
CAGL0C05269g	0.055685667	0.588678417	1.441772363	-2.481097815
CAGL0C05379g	-0.235574623	-0.404477784	-1.019478405	3.585455997
CAGL0C05489g	0.035441407	0.696148302	1.130925911	-2.511438666
CAGL0D00176g	0.097731008	0.191437804	-1.634998586	2.335192243
CAGL0D00198g	0.558731319	1.739266819	2.353842681	-2.158922556
CAGL0D00352g	-0.344618834	0.104086778	1.504374173	-3.203024042
CAGL0D00528g	-0.425799044	-0.617983138	-1.601497149	2.889266353
CAGL0D00704g	0.321521635	0.668496309	1.83305599	-3.118341639
CAGL0D00770g	0.100581365	0.197826621	1.029120309	-1.388559144
CAGL0D00836g	-0.05067534	-0.555087847	-2.378667918	1.261720302
CAGL0D00880g	-0.153124674	-1.22860383	-4.287465479	1.609233764
CAGL0D00902g	-0.271589761	0.00649659	1.093589339	-1.701405884
CAGL0D01056g	0.025442752	-0.007611745	1.058168536	-1.338806126
CAGL0D01100g	0.279019506	0.701748814	1.736592876	-2.663657056
CAGL0D01232g	0.049753394	0.834136358	1.766656695	-1.106930117
CAGL0D01276g	-0.200883567	-0.406069531	1.46703497	-2.407437238
CAGL0D01496g	0.367340482	2.157232161	3.093771241	-2.25812375
CAGL0D01672g	0.068466431	0.167924461	1.252842058	-1.334131345
CAGL0D01716g	-0.175997737	-1.263243689	-2.005970649	6.310985072
CAGL0D01760g	0.244611976	0.694837928	1.500663123	-1.669811179
CAGL0D01782g	0.076062278	-0.162807197	1.563217291	-2.311876384
CAGL0D01826g	0.053862329	-0.087109072	-1.210985835	2.164143684
CAGL0D01980g	0.151869864	0.522771332	1.832796861	-1.638288359
CAGL0D02134g	-0.288402023	-0.203806338	2.387657611	-1.872995482
CAGL0D02266g	0.193584878	0.596537554	1.640312799	-1.269818574
CAGL0D02684g	-0.158829676	-1.028785824	-0.5964986	2.181745038
CAGL0D02838g	-0.097659425	-0.760415468	-3.182084626	3.537918764
CAGL0D02860g	-0.133498952	-1.444795291	-2.356050743	3.476030378
CAGL0D03102g	0.341350184	0.96266927	1.65403762	-2.398123999
CAGL0D03124g	-0.23001229	-0.894613127	-3.563008219	1.698422799
CAGL0D03564g	-0.108683605	0.304998507	1.486775765	-1.999054506
CAGL0D03652g	-0.264299594	-0.972950895	-1.076279845	4.647227036
CAGL0D03674g	0.10956053	-0.177158576	-2.508486747	2.54634303
CAGL0D03718g	-0.027611889	-0.178120606	-1.471015495	4.84716247
CAGL0D03740g	-0.114956671	-0.277447917	-1.643750646	1.638830945
CAGL0D03982g	0.260862209	0.948748514	2.685158013	-2.010766183
CAGL0D04026g	-0.184073931	0.328467272	1.322841343	-4.141686179
CAGL0D04180g	-0.383204959	-1.193529124	-3.583830329	1.015265604
CAGL0D04202g	0.177094181	-0.229205581	-1.438179421	1.356731449
CAGL0D04444g	0.042727022	-0.352852754	-1.211552934	4.369115173
CAGL0D04466g	-0.263599563	-0.429035146	-1.069835731	4.068334853
CAGL0D04488g	0.306019091	-0.859300716	-1.694597245	3.160528552
CAGL0D04576g	-0.140123896	-0.42696057	-1.661651495	3.017075762
CAGL0D04642g	-0.078443894	-1.263050134	-1.687820266	1.86161711
CAGL0D04796g	0.13953677	-0.167104529	-1.4774698	2.532497329
CAGL0D04884g	-0.233695293	-1.090578573	-4.16251741	2.174203489
CAGL0D04972g	0.102905572	0.183456236	1.538403102	-2.794068457
CAGL0D05016g	0.038657833	-0.114914026	-2.356416539	1.458752386
CAGL0D05060g	-0.089843876	-0.32289388	-2.331298659	1.318790635
CAGL0D05236g	-0.791856001	-2.402969026	-3.039219168	1.083712955
CAGL0D05258g	-0.177899783	-1.360123037	-1.272876868	1.488343639
CAGL0D05434g	0.579886725	2.407719452	1.394267235	-1.475659272
CAGL0D05456g	0.347902347	1.006911107	0.566288511	-1.331324545
CAGL0D05500g	-0.087256403	-0.601801535	-1.63468289	1.236359965
CAGL0D05632g	0.628444306	2.311892025	3.22737764	-2.332471817
CAGL0D05852g	-0.083413638	0.124798179	1.268202248	-1.16831067
CAGL0D05940g	0.1121231	-0.20713311	-3.26077939	2.667564579
CAGL0D06006g	-0.086930314	0.496805351	1.275541005	-2.105529539
CAGL0D06270g	0.346430575	0.382701722	1.124279486	-1.135226367
CAGL0D06336g	0.000838767	-0.123672618	-1.473569324	2.878128821
CAGL0D06424g	0.140786367	2.329324646	1.560987278	-4.338375444
CAGL0D06600g	0.571804545	1.362222971	3.049897102	-3.49180372
CAGL0D06622g	-0.071792405	-0.477115195	-1.307179597	5.435756381
CAGL0D06644g	-0.284610943	-1.767153503	-1.88761888	2.004958843
CAGL0E00583g	0.054102447	0.7592467	2.648780426	-2.465733578
CAGL0E00781g	0.043223449	-0.211960306	-2.136723259	3.424150016
CAGL0E00803g	0.901808572	3.665399754	4.03524225	-1.945445562
CAGL0E01221g	-0.109950678	-0.21509711	-1.113435615	1.483138611
CAGL0E01287g	0.253381825	1.103811261	1.147316628	-3.648481703
CAGL0E01463g	-0.119596628	-0.177800853	-1.407166183	1.759268354
CAGL0E01573g	-0.073939372	-0.603067862	-2.631845904	2.975675309
CAGL0E01595g	-0.950631083	-0.924512048	-2.047224018	1.985786534
CAGL0E01815g	0.246053391	1.915319644	5.161677836	-4.828084463
CAGL0E01837g	-0.043557058	1.776865508	2.537840964	-3.877055645
CAGL0E01881g	-0.125188715	0.603046606	1.91822007	-2.905482172
CAGL0E01903g	-0.130504412	-0.847626548	-2.101976609	2.568679665
CAGL0E01925g	-0.217726962	-0.904220697	-3.210186142	3.536571919
CAGL0E02233g	-0.743326785	-2.060285676	-1.540890216	3.205616441
CAGL0E02343g	-0.248624451	-1.236228133	-4.245918569	1.741924438
CAGL0E02409g	0.071608437	-1.056881098	-0.826500642	3.415909385
CAGL0E02651g	0.190936588	0.55305102	3.100438271	-2.644809069
CAGL0E02717g	-0.325971293	-0.474590958	-2.369003	3.448285387
CAGL0E02959g	0.074053156	-0.893245062	-1.207844975	2.804812143
CAGL0E02981g	-0.032424468	0.236044894	1.92806205	-1.803683625
CAGL0E03223g	-0.303648313	-0.709720978	-3.007906663	3.545192402
CAGL0E03289g	0.024138444	-0.287133637	-2.818538874	2.064566561
CAGL0E03498g	0.582800223	0.797722271	2.302269142	-2.609962691
